text,label
መግለፅ መቻላቸውን ማረጋገጥ,0
በዛሁ ቀንሱልኝ አለ,1
ቅፅላዊ ሀረግ,0
ስጋው መጠጠ,1
ቀዳዳ,1
ተነስቶ ሄደ,0
በሆኑ ርእሰ ጉዳዮች ላይ,0
ብር ብሎ ሄደ,1
መከተ,1
እስማማለሁ,0
ቆላ ቁስል,1
የዋህ አላፊ,0
በተጨማሪም,0
ይቅር ተባባለ,1
መቆራረጥ,1
የቤት እቃ,0
የሚነገረዉ ሀሳብ,0
ደና ሁን,0
አይመስሉ መስሎ,1
እሳት መታው,1
በዛብህ የወጣበት,0
ፀሀፊያቸው ደብተራ ዘነብ,0
አፉን አሙሸ,1
የአባት ልጅ,0
በራሴ ጊዜ,0
ቀንዳ ቀንዳ አለ,1
ራሱ ጠና,1
ተስፋ ስጠ,0
በቀላሉ ሸጠኝ,1
ስማዊ ሀረግ,0
መልክ አምድርና የአየር ንብረት,0
ልጁ ቀለጠ,1
ላባ ቀረሽ,1
መሬቱ ቀና,1
ስጋ በል,1
ክፉ ስልጣኔ,1
በበዛብህ ጎጆ,0
ለመምህርመር የሚተገበር ሙያ,0
በአንድ ሙያ ታዋቂ መሆን,0
ከገደል ላይ ማር የሚያወጣ,1
ለራስ ያሉት,0
የሚያመለክቱ ማስረጃዎች,0
ጎርፍ,0
አብርሀም ሊንከን,0
መሸፈን መከለል,0
የድሀ መከታ,1
የሰው ቤት,1
በጉ,1
ቆሌው ተነስቷል,1
አንጀቱን ቆረጠው,1
ትውልደ አርመኖቹ በኢሏባቦር,0
የጨረቃ ቀንድ,1
አንድ ኢትዮጵያ,0
የተፈጠረ ሳይሆን,0
የሚያስሩ ግሶች,0
የሆድ,1
እናት ፓርቲ,0
እንዲሁም ቋንቋው የጋዜጣ,0
ወረዳ አዘዘ,0
ተስፋ አትቁረጥ,0
ሁሉ እንዲታሰሩላቸዉ,0
ገበሬዉ አረሰ,0
አታቀርሽብኝ,1
ድንገት ሀሳብ ገባኝ,0
ስንክሳሩ በዛ,1
ቁሞች,1
አባቱ,1
መከራ ተቀበለ,1
ቁጣው በረደ,1
የሱ ወንድምነት,0
ልቡ ፈረሰ,1
አያሌ ገፅታዎች አሉት,0
ሰብለ ወንጌል,0
በቃል እንዲመልሱ ያድርጉ,0
በርካታ ጠቀሜታዎች አሏቸው,0
ላጤ መላጤ,1
በሽታው ለቀቀው,1
በንዴት ተቃጠለ,1
ባጣ ቆዬኝ,1
የሚያካትት ጭምር,0
ለማንሳት ፈቃድ,0
ቋቱ ጠብ አላለም,1
አስፈላጊ ነዉ,0
ምግበ ነፍስ,1
የማያቀራርብ ስራ,1
አረጋግጦ መሰከረ,1
ችግር የሌለበት,0
ተብለው የሚገመቱ,0
ከአፍቅሮተነዋይ የራቀ,0
መልኩ መድሀኒቱ,0
ዝናቡ አቆመ,1
አይኑ ተሸነፈ,1
ሞኝ ያገኘው ፈሊጥ,1
እስኪጨርስ ድረስ በመደበኛ ዋና,0
ጉዳይ ቆረጠ,1
ቃሪያ ነገር,1
የተለየየ ሰዎችን,0
መንገድ መች ሆነና,0
ሞገደኛ ዝናብ,0
ልቡ አበጠ,1
ለማስቻል,0
ከስሙ እንደምንረዳው,0
ዘሩ የማይታወቅ ለሰው,0
ማነው ይግቡ,0
ረጠበ,1
በተዋቀሩ አረፍተነገሮች ውስጥ,0
ቁርበት ጣሉለት,1
የተጫማናቸው ጫማዎች,0
ቀን ጎደለበት,1
ደም ያረገዘ ጣት,1
መጥፎ እድል,0
የበቀል እቅዳቸዉን,0
በንዴት ተቃጠለ,1
የሚሄዱበት ደረጃ ላይ ደርሰዋል,0
ዳንኪራ መታ,1
አምባር ሰበረ,1
አስር ሀገራት መካከል አብዛኞቹ,0
ልበ ትልቅ,1
ልቡን አወለቀ,1
ከብቱ ጥርሱን ሰብሯል,1
አማርኛ ከአረብኛና ከእብራይስጥ,0
ስምህን ቄስ ይጥራው,1
ልቡን ሸነጠው,1
ቦይ ቀደደ,1
ልብ አጠፋ,1
ሰንኮፉ አልወጣም,1
አጥሩ ሊፈርስ ደረሰ,0
ለመስረቅ ቤት ሸነቆረ,0
በጎ ፍቃደኝነት,0
ቤት ሞላ,1
እነሱ በተለየ መንገድ,0
ማስተላለፍ መቻል ይኖርበታል,0
ቤት አሳየ,1
የሶቅራጥስ ሞት,0
የሚጥስ ይሆናል,0
ቃናው ተለወጠ,1
ልበ ጡል,1
በሰብእናውና በመልኩ,0
አስበቃ,1
ውሸታም,0
እስኪነስረው ነገረው,1
ገበሬዉ አረሰ,0
ሰማይ ለሰማይ,1
ቀብሮ አቆየ,1
መስክ አልፋ,1
አመሉ አልሰከነም,1
አውድማ በረበረ,1
ለቀረበው ተግባር,0
ለበርካታ ወጣቶች የስራ እድል,0
ቀላድ ጣለ,1
አንድ እቃ ወይም አገልግሎት,0
ከሚሰጣቸው አገልግሎቶች,0
ርስት ተከለ,1
ራሱን አወቀ,1
የትውልድ ቦታ,0
ሆደ ባህር,1
ጥፋት በአይነ,0
ሽጓጣ,1
ረሀብ በረበረኝ,1
ብረት ለበስ,1
አረግ መዘዘ,1
ደመናው ተሾመ,1
ለክፍል ተማሪዎች አቅርቡ,0
የግእዝ ፈደላትን በመውሰድ,0
የቀረቡትን የቃላት ጥያቄዎች,0
ተጫጫነኝ,1
ይህንንም ያደረገው,0
ፆታዊ ፍቅር,0
ፅሁፍን አሳጥሮ መፃፍ,0
አንብበው እንደጨረሱ,0
ከአርባ ቢሊዮን,0
ፊታውራሪ መሸሻም,0
ነብዩ ቁርሱን በልቷል,0
ብርክ ያዘው,1
ስነፅሁፍ እንዲሆን አድርገዋል,0
የፈጠራ ችሎታን ያጎለብታሉ,0
የአንድ ነገር መሰደድ መለቀቅ,0
መታገስ መቻል,0
የሚላስ የሚቀመስ,1
ልቡ ገባ,1
ትፋታም,1
አግዶኝ,1
ቀን,1
የሀገር ፍቅር,0
ሞገስ አገኘ,1
ከክፍለትምህርቱ የሚጠበቁ ውጤቶች,0
የኢትዮጵያ ምንጮች,0
የእውቀት ብርሀን,0
በምልከታ ማረጋገጥ,0
የወርቅ ሀብል,0
ቆረጠኝና,1
ቀደም ሲል የደላንታን ሰማይ አንጋጠው,0
የስጋ ከብት,1
ተራ ነገር,1
ሰውነቱ ተለወጠ,0
ልቡን ሰበረው,1
የሌሊት ወፍ,0
ድንገት ጣል አደረገብኝ,0
ደህና ይሁኑ,0
ራስ ስሞሽ,1
ሞቅ ሞቅ አለ,1
ፅሁፉን ካነበቡላቸው በኋላ,0
ብርድ ብርድ አለው,1
መፅሄቶች ጋዜጦች,0
ሽንታም,1
የሚሰናዳ መፅሀፍ,0
ልጦ ጎርዶ አወጣ,1
ቀንዱን አሳየ,1
ሳብ ረገብ አደረገ,1
አሯሯጠው,1
በረት ምጣድ,0
የቋጠረው የማይፈታ,1
ቁልፍ ቦታ,1
አቀለጠኝ,1
ምርጫ ምርጫ,0
ከበግ አይሻልም,1
የሚማሩ ግለሰቦችን,0
በውይይታቸው የደረሰቡባቸውን ማጠቃለያዎች,0
ሰማይ ጠቀስ,1
መቼ አጣሁት,1
በተዘዋዋሪ መንገድ ሊቀርብ ይችላል,0
ሰውዬው በረደ,1
እንደሚበልጥ,0
መጥምቀ መለኮት,0
በስብሰባ ወይም ዝግጅት ወጣት,0
ማብረድ ቻሉ,0
በማደግ ላይ ካሉ አገሮች,0
ይቻላል,1
ምርቅና ፍትፍት,1
ለማሳየት አሁን ያለው ትውልድ,0
ገንዘቡን አቃጠለ,1
ንስሀ አባት,0
ስር ተቆጣ,1
ጉዳዩ መክኖ ቀረ,1
የወዲያ ስራ,1
ሻ ብትን,1
ቅምጠላው ጠፋ,1
የፍቺ ልዩነት መግለፅ,0
መሬት አሟሸ,1
ቆዳውን አስወደደ,1
ሟጣጭ ሌባ,1
ሊያለቅስ ደረሰ,0
ማናቸውም አይነት ግብር,0
ሀብተ ሰባራ,1
የሰው ልጆች ሀሳባቸውን,0
ተጎዳ ተጎሳቆለ,0
ሌላው የኢትዮጵያን እንግዳ ተቀባይነት,0
አለመገኘቱ,0
ሆድ ሆዴን,1
ተቋቋመ,1
አይቻልም,1
አለቃና ምንዝር,1
ክፉ ቀን,1
በእኩል ጊዜ እንዲያልቁ ሆነው,0
እንደመነሻ ይጠቀሙበት,0
ማስቀየም ማስከፋት,0
ተማሪዎችን በመጠየቅ ማረጋገጥ,0
ያንበሳ መደብ,1
ቆብ ጫነ,1
የቀረው ቢቀር,1
ባህር ሸሽ,1
ስር ያዘ,1
ከካኔ ሚያሀራ ጋር ተዋወቀ,0
ውርደት ተሸከመ,1
ይህን ችግር,0
የኢትዮጵያ ስፔስ,0
ቆይ,1
የእንዝርት ቂጥ,1
የሚያጠናቅሩበት በቂ ጊዜ ይስጧቸው,0
ገጣሚ ሰው,0
ረሀብ በረበረኝ,1
ግምባሩ ተሸበሸበ,1
ልቡ ቆረጠ,1
ስለማይፈቅዱላት አዝና,0
ሌላውን,1
ሰውንቴ ተሟገተብኝ,1
ጅምላ ጭፍጨፋ,0
አይነት ሁኔታ ላይ ሳለ,0
በኢትዮጵያ የመጀመሪያውን,0
ደብተሮቻቸውን በመመልከት ማረጋገጥ,0
እግዚአብሄርታን ያመለክታል,0
እርጥብ ናት,1
ሀረግ መዘዘ,1
አርእስተ ነገር,1
አስመታ,1
የትዳር አጋር,0
በአሁኑ ወጣት እውቀትና ገንዘብ,0
በላብ ሰጠመ,1
በዜማ የሚቀርቡና አጫጭር,0
ሰነፍ ምርት,1
ቀነደበ,1
ልበ ፈሪ,1
ስልጠና ፍላጎት,0
የድሀ መከታ,1
ቀጠንጠን አድርጎታል,1
ጠጉር ስንጠቃ,1
ቂም መቅረፊያ,1
ጎን ለጎን,0
የቀለም ቀንድ,1
ስማቸው ከሚጠራ አስር ሀገራት,0
ይኸውም፦,0
ዘጠና ደቂቃ,0
ሆዱ ሻከረ,1
ብረቱ ሸንቶበታል,1
ቅመም,1
በቀድሞው ይፋት አውራጃ,0
እጅ መንሻ ስጦታ,0
ነፃነት ፍለጋ,0
አንጀቱ ተበጠሰ,1
መምህር መከናወት,0
ሰፖርታዊ ጨዋነት,0
ሴት አውል,1
ልቡ ቀዘቀዘ,1
መንገድ ቀደደ,1
ሀዘን ቤት,0
አንጀቱ ቆረጠ,1
ልቡ አበጠ,1
አይነስረውም,1
የሚቀራረቡበትን ዘዴ,0
ሁለት ዲግሪዎችን,0
መፅሄቶችንና የምርምር ውጤቶችን ይጠቀሙ,0
የውሻ ቁስል,1
በውይይት መሳተፋቸውን,0
በማድረግ ማረጋገጥ,0
ቁም ስቅል አሳየ,1
ሞቴን ሞት ወሰደው,1
ዝናብ መታው,1
ጥቅም አልባ ዋጋ ቢስ,0
ልቡን ሸነጠው,1
እንደሱ የወንድ ፈሪ በሀገር የለም,0
ዝምተኛ ሰዉ,0
ልጓም አጥባቂ,1
ላይ ታች አለ,1
ከንፈሯን መገመገዉ,0
መኝታ ቤት,0
መርጃ መሳሪያዎች,0
አሳበ ሩቅ,1
ልበ ጥሩ,1
ጥቁር አዝሙድ,0
የቁም ከብት,1
ባዝራዋ ተመታች,1
ያድማዉ መሪዎች,0
በዋለ ቀረ,1
የወር ገቢ,0
ተመሳሳይ ካልተገኘለት,0
ማስታወቂያ ሲዘጋጅ,0
ልቡን መታው,1
በእጅ ስልኮችም በሚገባ,0
እዚህ ተቀመጥ,0
ቃል አጋኖ,0
ቤተሰባዊ ግንኙት መፍጠር,0
ዳኛ ረግጦ ሄደ,1
ፈዳ,0
ቂጥ ለቂጥ ገጠመ,1
በጎ,1
የሚመስላት አጥታ,0
ስምህን ቄስ ያንሳው,1
ምንድነው ውበቱ,0
መሬት ሰነጋ,1
አጭር ፅሁፍ,0
ኢትዮጵያ አሁንም ስደተኞችን በመቀበል,0
ነገር ቆሰቆሰ,1
ከዚህ በተጨማሪ,0
መንግስት አመምህርንና አስተዳደርን,0
ብቅሉ አናቱ ላይ ወጣ,1
ጎጆ ቀለሰ,1
ሀዊረ ህይወት,0
ቅኔ ቆጠረ,1
መረጃዎችን ለመለዋወጥ,0
ሙሽሪት ማሬ ማሬ,0
በህዝቦች ህይወትና ግንኙነት,0
ሊያተኩሩባቸው የሚገቡ ነጥቦችን,0
አሻሻጭ,1
የኔ ቢጤ,1
ብዝሀነት በአንድነት ውስጥ,0
ማንቆርቆሪያ አፍንጫ,1
ወቀሰው,0
በፅሁፍ ውስጥ መኖራቸው የተሟላ,0
ትንሽ ስህተት,0
ቅዳሴ ታጎለ,1
መሰናክል እሩጫአ,0
መንግስተ ሰማያት,0
ቅርጥ የለሽ,1
በመደረጉ ምክንያት,0
አንገቱን ረገጠው,1
ሰንካላ,1
ብለን በትግስት,0
ልቡ ቆሰለ,1
የሴት ልጅ,1
የተለያዩ አረፍተነገሮችን በመስጠት,0
መከራ ቀመሰ,1
ነገረኛ,0
አለባበሰ,1
አፈር ይብላኝ,1
ምድር ያዘ,1
ምርጊት ፊት,1
አዳማ ከነማ,0
በቤታቸው ሰርተው እንዲመጡ ይንገሯቸው,0
የጠላቶቻቸዉ ጥፋት,0
አይኑ ሰረቀ,1
ገንዘብ አለውና,0
ልብ ቀረው,1
ቢሆን የሚከፈል ግብር,0
ለልጁ ሳሳ,1
ስርአት ተከለ,1
አባ ሙላት,0
በልክ,1
ፊቱ መጠጠ,1
ምድር መሸበት,1
የፈሲታ ተቆጢታ,1
ተጠናከረ,0
ግብር ማሰብሰብ ትምህርት ቤቶች,0
ሮሮ አይመረው,1
የስሜት መነቃቃት,0
ልበ ከንቱ,1
የጥርስ ስጋ,1
ክፉ ስልጣኔ,1
ምድር አስጋጠ,1
መጠጊያ የሚፈልጉ,0
አንበጣ መታዉ,0
ቀንድ አሽሽ,1
የምትወደዉን አታገባም,0
አገር ተመታ,1
ልቡ ሞቷል,1
በቅሎ ነች,1
ብትን ድልህ,1
መነጠልና በራስ መዋጥ ሳይሆን,0
በሚኖርበት ማህበር,0
ቋንቋው አልገባውም,1
የሆነው ይሁን አለ,1
ቅድ አፍ,1
ቀደም ሲል,1
በቃል ሲያቀርቡ በመከታተል ማረጋገጥ,0
ይኸውም በዳይና ተበዳይ,0
ማለትም በፌስቡክ ገፁ,0
ግብር በመንግስት የሚጣል,0
እንደ እድል ሆኖ,0
አፉን አሙሸ,1
አደራ በላ,1
ይሁን,1
ጭንጋፍ,0
መሸኛ ደብዳቤ,1
ልበ ሰፊ,1
ስራት ለበሰ,1
የጤናና ማሀበራዊ መገልገያዎች,0
ህይወት በሙሉ,0
ገንዘብ ቀረጠኝ,1
ቋሚ,1
በተማሪ መፅሀፍ,0
በበዛበት ከዚያ,0
ሸለተ,1
የቀረበውን አጭር ማስታወሻ,0
አለሁ አለሁ ባይ,0
ካሳ ሰራ,1
ዘመናዊ እርሻ,0
ቃሉን አከበረ,1
አገሮችን ለማሳደግ,0
ወይም ባህላዊ ወይም,0
የስራ አጋር,0
ቦርቦር አለ,1
ከልቡ ወደደ,1
ስር የለሽ,1
የሚያውቀውን እውነታ እንመልከት,0
ሰብለን በፈት ወግ አገባለሁ,0
የኢትዮጵያ ህዝብ,0
ሹመት አይደነግጥ,1
የሰይጣን መልእክተኛ,1
ሞት ይቆረብለትና,1
ምድር ቀለጠ,1
ቤት ያፈራው,1
አድካሚ እንደሆነ ይናገራል,0
እጅ ለእጅ ሲጨባበጡ,0
እኛ ጋ ያሉት,0
ሳታደርገዉ ቀረች,0
ልቡን መታው,1
ቀንበር ሰበረ,1
ዱላ ቀመሰ,1
ራስ በራስ,1
ሳታገባ ትቀራለች,0
መግዛት ከፈጣሪ,0
ባታላጋኝ,1
ታማኝ,0
በወጣትነት እድሜው,0
ስድ ቤት,1
ተጨማሪ ገለፃና ማብራሪያ,0
የ አመት ጎልማሳ,0
የሌሎቹንም ቃላት ፍቺና አጠቃቀም,0
ልቡ ሰባ,1
ቆርጦ ቀጥል,1
ልብ አቁስል,1
መጥኔውን ይስጥሽ,1
ነገር ተበተበ,1
ድምፁ ያውከው ጀመረ,0
የነበረው የአስተሳሰብ ስርአት የተበታተነ,0
ባርያ ሰደድ,1
ስጋ በል,1
ልቡ ሸፈተ,1
ቁርበተ ሞኝ,1
ሰርገኛ መጣ በርበሬ ቀንጥሱ,1
ፈተና ቀለለ,1
አይነ ልም,1
ጨዋታው ቀለጠ,1
ሰረገላ ገባ,1
አናቱን ለየ,1
አንድነት ደግሞ ጭቆናን አያመለክቱም,0
መገመት መምህርጠር,0
ተማሪዎች በምንባቡ ውስጥ,0
ተከሻህን አትሽ,1
ክፉ ጎረቤት,0
አንቺ ከየት ታመጫለሽ,0
በሬው ቀና,1
ሰውነቱን በላው,1
ቢከፍቱ ተልባ,1
ልቡ ራሰ,1
ማዶ ማዶ,1
የነገር መነሻ,0
ልቡ ገባ,1
የውሻ ቁስል,1
ሁለት ወይም ከዚያ በላይ የሆኑ,0
ስራ ፈት,1
ዱላ ሸተተው,1
ጥሩ የቃላት ፈጠራን,0
ክፍል የቀረበው የቃላት ትምህርት,0
ፅሁፎችና ስእሎች,0
የሰይጣን ቁራጭ,1
ባለው ጥሩ ባህሪ,0
መጥፎ እሴቶች,0
ሟጣጭ ሌባ,1
ባይሸት ይሻላል,1
ምግብ ቤት,0
በሽታው ወጣለት,1
የገንዘብ ቦርሳቸውን,0
ከየጉድጓዳቸው ብቅ ብቅ ሲሉ,0
ፅልመት ውስጥ,0
እሱ ባልዉ,0
በሰው ፊት ቀሰለ,1
የአመተ ምህረት ህዝቦች በስፋት ግብርና,0
ቁጣዬን ቀሙኝ,1
ትምህርት ቀሰመ,1
ልበ ተራራ,1
ሰርግና ምላሽ,1
ማህበረ ቅዱሳን,0
ልቡን ሰጠው,1
ታች አብሽ ወረደ,1
መሬት ይቅለለው,1
ትኩስ ሀይል,1
አውሬ ቀሰቀሰ,1
ገንቢ ግብረመልስ ይስጡ,0
ብዙ ገንዘብ,0
ለውይይት የሚጋብዙ,0
የሰው በታች,1
ለምኔ,1
አስመሰከረ,1
ስም እንዳለው,1
ለታማሚው መስጠት,0
እባጩ በሰለ,1
ከከተማው ቀደም ብለው የተነሱ,0
ልጁ ቀለጠ,1
በመሆኑም በብዙ ዘመናዊ ግጥሞች,0
ቁም ለቁም,1
ሊበላ,1
ልቡ ሊከዳው ፈለገ,0
ሽንታም,1
ቆርጦት,1
ምድር ቤት,0
ብረ ሸሽ,1
ሹም ሽር,1
ወዳጅኔቴን ሰርዣለሁ,1
የተሰጠ አንድ ብያኔ እንመልከት,0
ልበ ክፍት,1
የልመና እህል,1
ውሀ ቀጠነ,1
ሙት ለሙት ያለቅሳል,1
በመንግስት የሚጣል,0
የጀግኖች ባል,1
ፍትሀዊነት የጎደለዉ,0
ሰማይ ሰማይ አትይ,1
ሸማ ለባሽ,1
እነዚህ አረፍተነገሮች,0
አንድነትና ልዩነት ግልፅ እንዲሆንላቸው,0
የበሰለ ዋስ,1
ይሁንና ተገቢው ትኩረት,0
በጎ አድራጎት,1
ብበደር ገንዘብ ተቸገረች ይለኛል,0
አልተስማሙም,0
ስለሆነ,1
ቀርቶ ላይቀር,1
ሰዎች ሸክምህን በጎነተሉት ቁጥር,0
